S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
263,SIA/MP/MIN/566226/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270781/2025",Badkud Stone Quarry,MADHYA PRADESH,nagendra pratap singh,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Standard ToR Granted,"It is a Stone quarry with a production capacity of Max 57,399 Cu.mt/Year Stone having a lease area of 4.00 hectares , previously EC was issued by DEIAA Singrauli at Khasra No.- 1034/1 (Govt. Land) at Village: - Badkud, Tehsil - Chitrangi, District: - Singrauli (M.P.). Then we have applied a new application in Form-2 for fresh EC in SEIAA as per SEIAA policy decision taken in SEIAA agenda 766th Dated 11/01/2023 which is for 0 to 5 hectares. As our mine lease is falling in a cluster having cluster"
264,SIA/MP/MIN/544942/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/253989/2025,Partapur Stone ( Used for Making Gitti by Crusher) Mining Project,MADHYA PRADESH,PRABHAT KUMAR TIWARI,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,DELISTED BY SYSTEM (at : 07/02/2026),Stone Quarry used for making Gitti by Crusher
265,SIA/MP/MIN/566020/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/134293/2023",Bilaua Stone Quarry,MADHYA PRADESH,TEJWANT JAIN,Category: B1 Sector: Non-Coal Mining Date of Submission: 19/01/2026,SEIAA,Under Verification,"It is a stone quarry with the production capacity of 50000 cubic meter per year Gitti having a lease area of 2.00 hectares , previously EC was issued by DEIAA Gwalior at Khasra No. 3717/2 Village Bilaua, Tehsil Dabra, District Gwalior (M.P.). Now we are applying for fresh EC in MP-SEIAA as per the Honourable NGT OA 142 of 2022 dtd 07-12-2022."
266,SIA/MP/MIN/564899/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271142/2026",TILAI SAND QUARRY (1.60 Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Tilai Sand Quarry located in Village- Tilai, Tehsil- Nainpur, District- Mandla, State- Madhya Pradesh over an area of 1.600 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method.The project falls under Schedule 1 (a) (i) of EIA Not"
267,SIA/MP/MIN/561588/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/268847/2025",Kuwa Murrum Quarry,MADHYA PRADESH,KAilash,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/02/2026,SEIAA,Under Verification,"This is a Murrum Quarry. It comes under the B2 Category. We are using an open cast semi-mechanised mining method with an annual production is 5,000 cubic meters, Khasra no. - 287/1/1/1, Area - 1.33 Ha, Village- Kuwa, Tehsil – Thikari, District - Barwani (M.P.). Now applying for Fresh EC in MP-SEIAA as per the Honourable NGT OA 142 of 2022 dtd 07-12-2022."
268,SIA/MP/MIN/565384/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/251116/2025",Devnagar Laterite Mine,MADHYA PRADESH,Manohar Mining And Mineral Works,Category: B1 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,Under Verification,"Area is 2.444 Ha and Khasra No. 580, 581, 582, 583/2, 583/4, 583/5"
269,SIA/MP/MIN/543005/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/252119/2025","Environment Clearance for “BANEGAON STONE DEPSIT” WITH ANNUAL PRODUCTION 15,200 CUM OVER AN AREA OF 2.00 HA (GOVT LAND), LOCATED AT KHASRA NO. 01 OF BANEGAON VILLAGE, KIRNAPUR TEHSIL & BALAGHAT DISTRICT OF MADHYA PRADESH STATE",MADHYA PRADESH,RAISINGH & COMPANY,Category: B1 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,Under Verification,"This is a fresh case of stone mine namely Banegaon Stone Deposit located at Village Benegaon, Tehsil Kirnapur District Balaghat State Madhya Pradesh of M/s Raisingh & Company. The lease has been granted for up to 10 years from the issue of LOI. The maximum production capacity is 15,200 cubic meter / year over an area of 2.0 hectare. The stone is abundantly available in area. As per the gazette notification of Madhya Pradesh State Government dated 23rd March 2013, all the existing and fresh quarr"
270,SIA/MP/MIN/564277/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271236/2026",RAMNNA STONE QUARRY,MADHYA PRADESH,pitambara mining,Category: B1 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,EDS raised,"The Proposed Rammna Site covers an Area of 2.000 hectares at Village-Ramnna, Tehsil- Deori, District- Sagar, M.P. This Case belongs to the B1 category due to the proposed excavation area being a Cluster of Mines in this 500 m radius."
271,SIA/MP/INFRA2/563441/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270297/2025",Construction of Industrial shed for manufacturing of Rotor Blade for Wind Turbine Generators of M/s Suzlon Energy Ltd.,MADHYA PRADESH,SUZLON ENERGY LIMITED,Category: B2 Sector: INFRA-2 Date of Submission: 14/01/2026,SEIAA,EDS raised,"Construction of Industrial shed for manufacturing of Rotor Blade for Wind Turbine Generators at Village – Borali, Tehsil - Badnawar, District - Dhar (MP)"
272,IA/MP/INFRA1/563647/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/266029/2025","Construction of 4-laning of Southern bypass to Jhansi and connecting link for NH-44 & NH-39 from Km. 16+920 of NH-44 near Bangay Khas Village, Design Chainage 0+000 and terminating forming T Junction at Km. 6+650 of NH-39 near Orchha Tigela, Design Chainage 15+512 (Design Length – 15+512 km.) in the State of Madhya Pradesh and Uttar Pradesh on EPC Mode",MADHYA PRADESH,NATIONAL HIGHWAY AUTHORITY OF INDIA,Category: A Sector: INFRA-1 Date of Submission: 06/01/2026,MOEFCC,Proposal pulled back (withdrawn),"The proposed 4-lane Southern Bypass to Jhansi, connecting NH-44 and NH-39, is proposed to accommodate increasing traffic and to improve connectivity for passenger and goods movement. A total of 11.0883 ha of forest land, comprising 0.1803 ha is Revenue Forest and 10.9080 ha is Reserve Forest. Total length of road in forest land is 1.919 Km. From Design Km 0.000 to Km 2.332 (Bangay Khas to Majra Bangay) and from Design Km 6.350 to Km 15.512 (Gujjara Khurd to Pratap Pura), all within the Tikamgarh"
273,SIA/MP/MIN/562170/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269372/2025",Jamuniya Stone/ Murrum Quarry,MADHYA PRADESH,PANKAJ bhoj,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/02/2026,SEIAA,Under Verification,It is a stone/ Murrum project
274,SIA/MP/MIN/564149/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271142/2026,TILAI SAND QUARRY (1.60 Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Tilai Sand Quarry located in Village- Tilai, Tehsil- Nainpur, District- Mandla, State- Madhya Pradesh over an area of 1.600 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method.The project falls under Schedule 1 (a) (i) of EIA Not"
275,SIA/MP/MIN/559874/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/267212/2025",Bilantri Stone (Gitti ) M-Sand and Murrum Quarry,MADHYA PRADESH,aryan infrastructure company,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EDS raised,"It is a Stone Quarry with a production capacity of 20,000 m3/ Year Stone(Gitti) 20,000 m3/Year M-Sand & Max. 5,492 m3/Year Murram having a lease area of 3.50 hectare, at Khasra No. 514/1/1(Govt. land) Village - Bilantri, Tehsil- Mandsaur, District- Mandsaur (M.P.)"
276,SIA/MP/MIN/565652/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272389/2026",BASALI RAIYAT STONE & M-SAND QUARRY,MADHYA PRADESH,reena amar chouksey,Category: B2 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,Under Verification,"This is a Basali Raiyat Stone & M-Sand Mine. . This Case belonging to B2 category due to the proposed excavation area is No Mines in these 500m radius. We are using an open-cast semi-mechanised mine, and its annual production is 25080 M3/Year (Stone-10,000 M3/Year & M-Sand-15,080 M3/Year) at Khasra no 142, Area - 3.3, Village - Basali Raiyat Thad, Tehsil -Khaknar, District-Burhanpur (Madhya Pradesh)"
277,SIA/MP/MIN/556581/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/242646/2025",GHUTEHI MARBLE DEPOSIT QUARRY,MADHYA PRADESH,RAJAS MARBLE INDUSTRIES,Category: B1 Sector: Non-Coal Mining Date of Submission: 31/01/2026,SEIAA,EDS raised,"It is a Marble quarry with a production capacity of Max. 3801 cubic meter per year Marble & Max. 7059 cubic meter per year of Saleable waste having a lease area of 4.80 hectares , previously EC was issued by DEIAA Jabalpur at khasra No.– 226/1, 226/2, 227, 228 Village- Ghutehi, Tehsil- Majhauli, District- Jabalpur (M.P.). Then we have applied a new application in Form-2 for fresh EC in SEIAA as per SEIAA policy decision taken in SEIAA agenda 766th Dated 11/01/2023 which is for 0 to 5 hectares wh"
278,IA/MP/MIN/479568/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/188500/2024,Badiya Limestone Mine 4.50 ha,MADHYA PRADESH,SAGAR CEMENTS (M) PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 07/06/2024,MOEFCC,DELISTED BY SYSTEM (at : ),Name change of the Company from Satguru Cement Private Limited to Sagar Cements(M) Private Limited
279,SIA/MP/MIN/566009/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/238543/2025",Chakaldi Stone Mine-2.0ha,MADHYA PRADESH,Rasna Chouhan,Category: B1 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Under Verification,"this is stone mining project, Area-2.0ha Khasra No.- 59/2, (Govt. Land) at Village - Chakaldi, Tehsil- Rehti, District-Sehore, Madhya Pradesh."
280,SIA/MP/MIN/565072/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271907/2026",HATH KHOH STONE (GITTI) & M-SAND QUARRY,MADHYA PRADESH,RASHMI Patel,Category: B1 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,Standard ToR Granted,"This is a Hath Khoh Stone (Gitti) & M-Sand Quarry. It comes under the B1 category. We are using an open-cast semi-mechanised mining method with an annual production of 1,00,004 Cub meters/Year (Stone (Gitti) -75,003 Cub Meter/Year & M-Sand-25,001 Cub Meter/Year), Khasra no - 212, Area - 4.00 Ha, Village- Hath Khoh, Tehsil – Deori, District - Sagar (M.P.)"
281,SIA/MP/MIN/564814/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271714/2026","Bisentha Flag Stone & Boulder, M-Sand, Dimension Stone Quarry",MADHYA PRADESH,geo shining enterprises,Category: B1 Sector: Non-Coal Mining Date of Submission: 09/01/2026,SEIAA,Standard ToR Granted,"This is a flagstone, Boulder & M-Sand, Dimension Stone quarry. It comes under the B1 Category. We are using an open-cast semi-mechanised mining method with an annual production is 40,000 Cub meters/Year(FlagStone-3000 Cub Meter/Year, Boulder 10000 Cub Meter/Year & M-Sand-20000 Cub Meter/Year, Dimension Stone-7000 Cub Meter/Year ), Khasra no - 1228, Area - 4.00 Ha, Village- Bisentha, Tehsil – Morena(Banmore), District - Morena(M.P.)"
